CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
8771;integration.EditorTest$null;49;211;106;170;170;106;57;48;1;163;170
10972;integration.ElementTest$null;35;32;25;70;110;131;73;57;1;138;240
12451;integration.ReaderTest$null;29;30;1;41;94;132;74;57;1;137;281
12707;net.sf.xisemele.impl.AttributeImplTest$null;21;23;2;9;9;134;76;57;1;135;290
12708;net.sf.xisemele.impl.DateFormatterTest$null;5;2;0;0;0;134;76;57;1;135;290
12985;net.sf.xisemele.impl.EditorImplTest$null;47;83;5;5;20;139;81;57;1;130;295
13232;net.sf.xisemele.impl.ElementImplTest$null;65;84;3;3;4;142;82;59;1;127;298
13232;net.sf.xisemele.impl.FormatterProviderImplTest$null;21;21;0;0;1;142;82;59;1;127;298
13904;net.sf.xisemele.impl.OperationsHelperImplTest$null;33;40;3;14;48;145;82;62;1;124;312
14934;net.sf.xisemele.impl.OperationsImplTest$null;64;52;15;22;55;160;89;70;1;109;334
14934;net.sf.xisemele.impl.ReaderImplTest$null;42;46;0;0;0;160;89;70;1;109;334
19222;net.sf.xisemele.impl.ResultImplTest$null;289;342;12;14;19;172;101;70;1;97;348
19523;net.sf.xisemele.impl.ValidationsImplTest$null;37;39;10;11;15;182;109;72;1;87;359
19524;net.sf.xisemele.impl.ValueImplTest$null;51;55;0;0;1;182;109;72;1;87;359
19828;net.sf.xisemele.impl.ValueListImplTest$null;36;43;10;10;12;192;119;72;1;77;369
19828;net.sf.xisemele.impl.WithinContextImplTest$null;4;1;0;0;2;192;119;72;1;77;369
20835;net.sf.xisemele.impl.WriterEditorImplTest$null;87;91;19;20;51;211;132;78;1;58;389
21151;net.sf.xisemele.impl.WriterImplTest$null;38;40;10;10;10;221;142;78;1;48;399
23850;net.sf.xisemele.impl.XisemeleImplTest$null;227;244;11;12;13;232;153;78;1;37;411
