CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
114;com.allenstudio.ir.core.PluginManagerEvoSuiteTest$null;9;16;0;11;11;0;0;0;0;465;11
114;com.allenstudio.ir.core.plugins.AbstractNoteEvoSuiteTest$null;6;22;0;0;0;0;0;0;0;465;11
3885;com.allenstudio.ir.core.plugins.CommonNoteEvoSuiteTest$null;26;135;6;114;114;6;2;4;0;459;125
3893;com.allenstudio.ir.core.plugins.CommonNoteModelEvoSuiteTest$null;6;3;1;1;1;7;3;4;0;458;126
3894;com.allenstudio.ir.event.NoteListDataEventEvoSuiteTest$null;5;1;0;0;0;7;3;4;0;458;126
3894;com.allenstudio.ir.event.NoteListEventEvoSuiteTest$null;4;2;0;0;0;7;3;4;0;458;126
4283;com.allenstudio.ir.ui.DefaultNoteListModelEvoSuiteTest$null;19;13;10;16;16;17;8;9;0;448;142
6696;com.allenstudio.ir.ui.NoteListCellEvoSuiteTest$null;23;21;21;91;96;38;29;9;0;427;233
12984;com.allenstudio.ir.ui.NoteListEvoSuiteTest$null;65;93;16;106;133;54;38;16;0;411;339
13016;com.allenstudio.ir.ui.StatusBarEvoSuiteTest$null;5;2;3;5;5;57;40;17;0;408;344
13360;com.allenstudio.ir.ui.ToolbarEvoSuiteTest$null;10;8;11;22;22;68;46;21;1;397;366
13360;com.allenstudio.ir.ui.UIResourcesEvoSuiteTest$null;7;4;0;0;0;68;46;21;1;397;366
13476;com.allenstudio.ir.ui.calendar.MonthlyCalendarModelEvoSuiteTest$null;6;2;2;16;16;70;46;23;1;395;382
13934;com.allenstudio.ir.util.InspirentoUtilitiesEvoSuiteTest$null;7;2;11;20;25;81;50;27;4;384;402
17249;com.allenstudio.ir.util.XmlElementEvoSuiteTest$null;18;12;89;163;163;170;103;56;11;295;565
20004;com.allenstudio.ir.util.XmlIOEvoSuiteTest$null;70;53;10;84;99;180;111;58;11;285;649
