CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
2093;com.allenstudio.ir.core.ConfigurationManagerEvoSuiteTest$null;47;173;13;48;48;13;1;11;1;418;48
2271;com.allenstudio.ir.core.PluginManagerEvoSuiteTest$null;10;16;0;11;11;13;1;11;1;418;59
2271;com.allenstudio.ir.core.plugins.AbstractNoteEvoSuiteTest$null;6;21;0;0;0;13;1;11;1;418;59
4166;com.allenstudio.ir.core.plugins.CommonNoteEvoSuiteTest$null;16;84;7;86;86;20;4;15;1;411;145
4174;com.allenstudio.ir.core.plugins.CommonNoteModelEvoSuiteTest$null;6;3;1;1;1;21;5;15;1;410;146
4174;com.allenstudio.ir.event.NoteListDataEventEvoSuiteTest$null;5;1;0;0;0;21;5;15;1;410;146
4174;com.allenstudio.ir.event.NoteListEventEvoSuiteTest$null;5;1;0;0;0;21;5;15;1;410;146
4489;com.allenstudio.ir.ui.DefaultNoteListModelEvoSuiteTest$null;19;13;10;15;15;31;9;21;1;400;161
6811;com.allenstudio.ir.ui.NoteListCellEvoSuiteTest$null;23;19;6;90;97;37;15;21;1;394;251
13515;com.allenstudio.ir.ui.NoteListEvoSuiteTest$null;65;105;20;119;132;57;28;28;1;374;370
13548;com.allenstudio.ir.ui.StatusBarEvoSuiteTest$null;5;1;3;5;5;60;30;29;1;371;375
13886;com.allenstudio.ir.ui.ToolbarEvoSuiteTest$null;11;8;11;22;22;71;36;33;2;360;397
13886;com.allenstudio.ir.ui.UIResourcesEvoSuiteTest$null;7;3;0;0;0;71;36;33;2;360;397
14030;com.allenstudio.ir.ui.calendar.MonthlyCalendarModelEvoSuiteTest$null;6;2;2;16;16;73;36;35;2;358;413
14451;com.allenstudio.ir.util.InspirentoUtilitiesEvoSuiteTest$null;7;2;11;20;25;84;40;39;5;347;433
18248;com.allenstudio.ir.util.XmlElementEvoSuiteTest$null;44;13;109;162;163;193;111;72;10;238;595
