CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
168;net.sf.jniinchi.INCHI_BOND_STEREOEvoSuiteTest$null;11;19;2;16;16;2;2;0;0;165;16
279;net.sf.jniinchi.INCHI_BOND_TYPEEvoSuiteTest$null;8;4;2;10;10;4;4;0;0;163;26
513;net.sf.jniinchi.INCHI_KEYEvoSuiteTest$null;14;8;2;14;14;6;6;0;0;161;40
625;net.sf.jniinchi.INCHI_KEY_STATUSEvoSuiteTest$null;9;3;2;10;10;8;8;0;0;159;50
645;net.sf.jniinchi.INCHI_OPTIONEvoSuiteTest$null;7;2;2;2;2;10;10;0;0;157;52
757;net.sf.jniinchi.INCHI_PARITYEvoSuiteTest$null;9;3;2;10;10;12;12;0;0;155;62
843;net.sf.jniinchi.INCHI_RADICALEvoSuiteTest$null;8;3;2;8;8;14;14;0;0;153;70
1034;net.sf.jniinchi.INCHI_RETEvoSuiteTest$null;11;4;2;16;16;16;16;0;0;151;86
1172;net.sf.jniinchi.INCHI_STATUSEvoSuiteTest$null;9;3;2;12;12;18;18;0;0;149;98
1247;net.sf.jniinchi.INCHI_STEREOTYPEEvoSuiteTest$null;8;3;2;8;8;20;20;0;0;147;106
1701;net.sf.jniinchi.JniInchiAtomEvoSuiteTest$null;19;11;23;30;32;43;43;0;0;124;136
2115;net.sf.jniinchi.JniInchiBondEvoSuiteTest$null;12;7;5;29;54;48;48;0;0;119;165
2281;net.sf.jniinchi.JniInchiInputDataEvoSuiteTest$null;9;4;1;15;17;49;48;1;0;118;180
2435;net.sf.jniinchi.JniInchiOutputEvoSuiteTest$null;10;5;0;14;16;49;48;1;0;118;194
2566;net.sf.jniinchi.JniInchiOutputKeyEvoSuiteTest$null;8;3;3;15;17;52;51;1;0;115;209
2773;net.sf.jniinchi.JniInchiOutputStructureEvoSuiteTest$null;9;4;4;21;23;56;53;3;0;111;230
3367;net.sf.jniinchi.JniInchiStereo0DEvoSuiteTest$null;13;8;20;40;65;76;58;18;0;91;270
3499;net.sf.jniinchi.JniInchiStructureEvoSuiteTest$null;11;6;5;11;26;81;63;18;0;86;281
