CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
195;net.sf.jniinchi.INCHI_BOND_STEREOEvoSuiteTest$null;12;23;2;16;16;2;2;0;0;164;16
294;net.sf.jniinchi.INCHI_BOND_TYPEEvoSuiteTest$null;8;4;2;10;10;4;4;0;0;162;26
458;net.sf.jniinchi.INCHI_KEYEvoSuiteTest$null;14;9;2;14;14;6;6;0;0;160;40
527;net.sf.jniinchi.INCHI_KEY_STATUSEvoSuiteTest$null;9;4;2;10;10;8;8;0;0;158;50
542;net.sf.jniinchi.INCHI_OPTIONEvoSuiteTest$null;6;2;2;2;2;10;10;0;0;156;52
616;net.sf.jniinchi.INCHI_PARITYEvoSuiteTest$null;9;4;2;10;10;12;12;0;0;154;62
667;net.sf.jniinchi.INCHI_RADICALEvoSuiteTest$null;8;3;2;8;8;14;14;0;0;152;70
851;net.sf.jniinchi.INCHI_RETEvoSuiteTest$null;10;5;2;16;16;16;16;0;0;150;86
990;net.sf.jniinchi.INCHI_STATUSEvoSuiteTest$null;10;4;2;12;12;18;18;0;0;148;98
1066;net.sf.jniinchi.INCHI_STEREOTYPEEvoSuiteTest$null;8;3;2;8;8;20;20;0;0;146;106
1521;net.sf.jniinchi.JniInchiAtomEvoSuiteTest$null;19;11;22;30;32;42;40;2;0;124;136
1936;net.sf.jniinchi.JniInchiBondEvoSuiteTest$null;12;6;4;29;48;46;44;2;0;120;165
2072;net.sf.jniinchi.JniInchiInputDataEvoSuiteTest$null;8;4;0;14;16;46;44;2;0;120;179
2223;net.sf.jniinchi.JniInchiOutputEvoSuiteTest$null;10;5;0;14;16;46;44;2;0;120;193
2363;net.sf.jniinchi.JniInchiOutputKeyEvoSuiteTest$null;8;3;3;15;17;49;47;2;0;117;208
2567;net.sf.jniinchi.JniInchiOutputStructureEvoSuiteTest$null;10;5;4;21;23;53;49;4;0;113;229
3144;net.sf.jniinchi.JniInchiStereo0DEvoSuiteTest$null;13;7;18;40;65;71;52;19;0;95;269
3497;net.sf.jniinchi.JniInchiStructureEvoSuiteTest$null;13;9;5;23;54;76;57;19;0;90;292
