CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
13;net.sf.lavalamp.PauseTest$null;106;101;1;1;1;1;1;0;0;245;1
3845;net.sf.lavalamp.application.AlwaysOffTest$null;148;197;2;12;12;3;2;0;1;243;13
4761;net.sf.lavalamp.application.ApplicationPropertiesTest$null;48;67;0;10;10;3;2;0;1;243;23
5623;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;55;68;0;10;10;3;2;0;1;243;33
9095;net.sf.lavalamp.application.BuildStatusServletTest$null;210;283;1;11;11;4;3;0;1;242;44
13541;net.sf.lavalamp.application.UniversalRunnerTest$null;231;214;9;24;24;13;7;5;1;233;68
15658;net.sf.lavalamp.device.BlinkTest$null;137;195;14;17;17;27;21;5;1;219;85
15659;net.sf.lavalamp.device.CrashTest$null;5;2;0;0;0;27;21;5;1;219;85
19430;net.sf.lavalamp.device.DeviceControllerTest$null;197;231;11;17;19;38;29;8;1;208;102
19854;net.sf.lavalamp.device.DeviceFactoryTest$null;13;10;8;24;24;46;29;16;1;200;126
21009;net.sf.lavalamp.device.DevicePropertiesTest$null;77;77;4;10;10;50;33;16;1;196;136
21529;net.sf.lavalamp.device.PeriodTest$null;8;4;23;52;52;73;56;16;1;173;188
21530;net.sf.lavalamp.device.StatusQuoTest$null;112;116;0;0;0;73;56;16;1;173;188
21734;net.sf.lavalamp.device.TimeOfDayTest$null;8;3;7;18;26;80;62;17;1;166;206
24713;net.sf.lavalamp.device.impl.TellStickJniTest$null;126;131;0;16;23;80;62;17;1;166;222
34293;net.sf.lavalamp.device.impl.TellStickTest$null;159;169;22;50;81;102;83;18;1;144;272
34586;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;16;12;6;17;33;108;85;22;1;138;289
34587;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;6;2;0;0;0;108;85;22;1;138;289
34854;net.sf.lavalamp.site.BuildPropertiesTest$null;36;36;2;5;10;110;87;22;1;136;294
37395;net.sf.lavalamp.site.BuildsCheckerTest$null;136;146;3;12;13;113;90;22;1;133;306
38125;net.sf.lavalamp.site.BuildsTest$null;126;137;1;6;8;114;91;22;1;132;312
38141;net.sf.lavalamp.site.DummyRemoteGetterTest$null;6;2;2;2;2;116;93;22;1;130;314
38155;net.sf.lavalamp.site.DummyRestGetterTest$null;5;2;2;2;2;118;94;23;1;128;316
38156;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;1;0;0;0;118;94;23;1;128;316
38179;net.sf.lavalamp.site.SiteFactoryTest$null;10;7;0;2;3;118;94;23;1;128;318
64755;net.sf.lavalamp.site.UrlGetterTest$null;566;541;22;35;35;140;105;34;1;106;353
65967;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;244;263;3;5;6;143;106;36;1;103;358
67077;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;279;243;1;7;9;144;106;37;1;102;365
68039;net.sf.lavalamp.site.impl.BambooRestApiTest$null;284;241;5;7;11;149;110;38;1;97;372
70249;net.sf.lavalamp.site.impl.BambooSiteTest$null;155;199;11;16;19;160;117;42;1;86;388
71397;net.sf.lavalamp.site.impl.HudsonTest$null;152;138;5;7;11;165;122;42;1;81;395
