CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
8;net.sf.lavalamp.PauseTest$null;106;103;1;1;1;1;1;0;0;277;1
3107;net.sf.lavalamp.application.AlwaysOffTest$null;132;153;2;17;18;3;2;0;1;275;18
3509;net.sf.lavalamp.application.ApplicationPropertiesTest$null;42;53;0;10;10;3;2;0;1;275;28
3914;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;50;56;0;10;10;3;2;0;1;275;38
5451;net.sf.lavalamp.application.BuildStatusServletTest$null;165;213;1;11;11;4;3;0;1;274;49
8452;net.sf.lavalamp.application.UniversalRunnerTest$null;168;158;9;24;24;13;8;4;1;265;73
56611;net.sf.lavalamp.application.WebRunTest$null;285;430;29;170;173;42;22;19;1;236;243
58392;net.sf.lavalamp.device.BlinkTest$null;113;156;13;16;17;55;35;19;1;223;259
58392;net.sf.lavalamp.device.CrashTest$null;4;1;0;0;0;55;35;19;1;223;259
60836;net.sf.lavalamp.device.DeviceControllerTest$null;155;200;8;16;25;63;42;20;1;215;275
61060;net.sf.lavalamp.device.DeviceFactoryTest$null;12;9;0;16;24;63;42;20;1;215;291
61651;net.sf.lavalamp.device.DevicePropertiesTest$null;58;64;4;10;10;67;46;20;1;211;301
61954;net.sf.lavalamp.device.PeriodTest$null;6;4;23;52;52;90;69;20;1;188;353
61954;net.sf.lavalamp.device.StatusQuoTest$null;89;96;0;0;0;90;69;20;1;188;353
62059;net.sf.lavalamp.device.TimeOfDayTest$null;6;5;7;18;26;97;75;21;1;181;371
64024;net.sf.lavalamp.device.impl.TellStickJniTest$null;102;115;0;16;23;97;75;21;1;181;387
71031;net.sf.lavalamp.device.impl.TellStickTest$null;159;139;22;50;81;119;96;22;1;159;437
71302;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;18;11;5;15;33;124;97;26;1;154;452
71302;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;5;2;0;0;0;124;97;26;1;154;452
71633;net.sf.lavalamp.site.BuildPropertiesTest$null;34;28;2;9;25;126;99;26;1;152;461
73150;net.sf.lavalamp.site.BuildsCheckerTest$null;111;109;3;12;13;129;102;26;1;149;473
73852;net.sf.lavalamp.site.BuildsTest$null;99;110;1;6;8;130;103;26;1;148;479
73863;net.sf.lavalamp.site.DummyRemoteGetterTest$null;5;2;2;2;2;132;105;26;1;146;481
73872;net.sf.lavalamp.site.DummyRestGetterTest$null;5;1;2;2;2;134;106;27;1;144;483
73872;net.sf.lavalamp.site.MissingBuildExceptionTest$null;6;1;0;0;0;134;106;27;1;144;483
73894;net.sf.lavalamp.site.SiteFactoryTest$null;11;7;0;2;3;134;106;27;1;144;485
85994;net.sf.lavalamp.site.UrlGetterTest$null;387;391;14;30;43;148;115;32;1;130;515
86615;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;102;100;3;5;6;151;116;34;1;127;520
87473;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;97;92;1;7;9;152;116;35;1;126;527
88370;net.sf.lavalamp.site.impl.BambooRestApiTest$null;108;109;5;7;11;157;120;36;1;121;534
92349;net.sf.lavalamp.site.impl.BambooSiteTest$null;122;113;11;28;48;168;127;40;1;110;562
93305;net.sf.lavalamp.site.impl.HudsonTest$null;108;118;5;7;11;173;132;40;1;105;569
