CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
9131;integration.EditorTest$null;47;144;106;170;170;106;48;57;1;163;170
11657;integration.ElementTest$null;31;33;25;70;110;131;64;66;1;138;240
13438;integration.ReaderTest$null;28;31;1;41;94;132;65;66;1;137;281
13734;net.sf.xisemele.impl.AttributeImplTest$null;22;23;2;9;9;134;67;66;1;135;290
13735;net.sf.xisemele.impl.DateFormatterTest$null;5;2;0;0;0;134;67;66;1;135;290
14065;net.sf.xisemele.impl.EditorImplTest$null;45;81;5;5;20;139;72;66;1;130;295
14333;net.sf.xisemele.impl.ElementImplTest$null;60;77;3;3;4;142;73;68;1;127;298
14333;net.sf.xisemele.impl.FormatterProviderImplTest$null;21;20;0;0;1;142;73;68;1;127;298
15076;net.sf.xisemele.impl.OperationsHelperImplTest$null;32;41;3;14;48;145;73;71;1;124;312
16350;net.sf.xisemele.impl.OperationsImplTest$null;43;47;15;22;55;160;80;79;1;109;334
16350;net.sf.xisemele.impl.ReaderImplTest$null;63;44;0;0;0;160;80;79;1;109;334
19973;net.sf.xisemele.impl.ResultImplTest$null;287;348;12;14;19;172;92;79;1;97;348
20292;net.sf.xisemele.impl.ValidationsImplTest$null;39;39;10;11;15;182;100;81;1;87;359
20293;net.sf.xisemele.impl.ValueImplTest$null;50;51;0;0;1;182;100;81;1;87;359
20602;net.sf.xisemele.impl.ValueListImplTest$null;37;36;10;10;12;192;110;81;1;77;369
20602;net.sf.xisemele.impl.WithinContextImplTest$null;4;1;0;0;2;192;110;81;1;77;369
21702;net.sf.xisemele.impl.WriterEditorImplTest$null;82;83;19;20;51;211;121;89;1;58;389
22014;net.sf.xisemele.impl.WriterImplTest$null;39;39;10;10;10;221;131;89;1;48;399
24428;net.sf.xisemele.impl.XisemeleImplTest$null;230;242;11;12;13;232;142;89;1;37;411
